N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
69,37,42,23.05804872,83.37011772,7.073453504,251.0549905,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
94,53,40,20.27774362,82.89408619,5.718627177,241.9741498,rice
89,54,38,24.51588066,83.53521629,6.685346423,230.4462365,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148829,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice
78,58,44,26.80079604,80.18572482,5.108681786,284.4816682,rice
93,56,36,24.01735908,82.05687437,6.98435366,185.2773389,rice
94,50,37,25.66637832,80.66886498,6.94aborpe,209.5869708,rice
60,48,39,24.28607912,80.22867798,7.142295719,231.0863347,rice
85,38,41,21.58710359,82.7883872,6.239277607,276.65524,rice
91,35,39,23.79225503,80.41817687,6.685346423,206.2380297,rice
77,38,36,21.50378789,80.37340437,6.417234949,224.0500372,rice
88,45,40,22.03849208,84.79352019,6.574153118,183.5689498,rice
75,55,39,20.05510432,83.61013758,5.62467638,231.2694498,rice
93,57,43,21.67686994,80.82519675,5.697001613,264.6542885,rice
45,42,42,22.56784244,83.88419782,6.046340479,220.6355498,rice
79,45,43,22.40988,84.0164455,6.050869752,233.5554817,rice
85,44,38,22.91818859,81.93380388,6.777421585,196.8428695,rice
72,46,42,25.15012277,83.46557906,6.718615982,210.1767928,rice
63,40,44,24.20495468,81.85498024,5.81330917,255.4020523,rice
90,36,45,25.15363853,80.48909792,6.068295816,195.4859578,rice
68,47,39,24.87195923,82.11694554,6.276439753,261.1775283,rice
